ID_REF	GSM677582	GSM677583	GSM677584	GSM677585	GSM677586	GSM677587	GSM677588	GSM677589	GSM677590
184719_at	null	null	null	null	null	null	null	7.51075	null
184720_at	153.136	449.888	212.976	286.181	337.182	353.148	205.498	304.863	370.325
184721_s_at	585.885	1325.2	728.172	1017.12	987.639	1076.29	634.219	777.163	891.595
184722_at	325.914	1182.81	481.254	850.032	845.148	871.802	545.996	668.835	774.253
184723_at	18.8653	10.7611	29.2522	34.4793	17.9505	44.6036	33.0854	8.46364	13.4094
184724_at	4.40044	8.4947	18.3908	3.18508	null	8.74772	null	7.78401	21.257
184725_at	41.5452	45.9218	25.7402	54.0844	37.6717	47.4735	22.6258	34.4661	23.0763
184726_at	null	null	null	null	null	null	null	null	null
184727_s_at	225.18	702.002	331.14	504.463	493.199	578.06	335.203	417.124	536.573
184728_at	440.934	992.151	607.799	762.613	744.241	731.25	637.544	709.696	889.286
184729_at	null	0.79485	null	null	null	9.5654	null	null	4.54985
184730_at	46.9929	66.9531	54.5427	62.6679	59.1487	55.9641	55.538	51.5679	51.2063
184731_at	4.93662	20.1888	15.388	4.93049	9.15761	15.1751	14.0889	15.167	6.63231
184732_at	1.89149	null	1.84624	null	12.8335	6.59372	1.77029	4.59189	9.06455
184733_at	54.9398	67.3377	37.0738	74.3076	55.0933	74.2077	55.7202	42.9939	39.4125
184734_at	28.8089	null	null	28.0158	null	13.7908	null	null	23.715
184735_s_at	75.6387	202.285	128.972	145.286	132.043	167.566	71.9559	122.847	64.7008
184736_at	422.635	969.552	558.006	731.038	747.214	610.658	566.153	694.726	804.533
184737_s_at	751.376	1747.43	1039.92	1291.38	1354.79	1558.14	974.353	1206.88	1283.92
184738_at	96.5931	194.452	109.971	140.348	113.641	142.687	113.959	127.893	152.442
184739_at	3.41736	18.2557	10.8706	13.1953	19.2135	18.7592	10.9094	11.3675	13.8467
184740_at	192.119	337.258	90.3207	265.91	163.95	113.099	244.648	221.868	98.6041
184741_at	8.03583	null	null	0.64883	null	null	null	7.62475	null
184742_at	10.2971	20.1567	6.2344	null	2.75411	7.70222	5.54476	null	2.85701
184743_at	null	null	null	null	null	null	null	null	null
184744_at	8.96934	95.4692	35.0674	69.1323	45.8354	62.2341	16.2559	28.9103	21.9605
184745_at	1125.75	2053.17	1262.7	1681.24	1561.02	1680.66	1008.48	1252.99	1241.76
184746_at	11.3011	22.5502	9.89633	17.3628	8.5578	0.644	8.18137	9.73519	2.05232
184747_at	2.83918	13.8816	3.25386	16.8079	18.4039	13.4961	19.0298	12.4293	14.1959
184748_at	18.5779	26.5699	14.3772	9.10448	21.1678	20.6531	22.9226	15.8535	22.2811
184749_at	2.57737	null	4.43047	null	1.13373	10.9599	3.99799	9.21329	4.52786
184750_at	65.4627	138.04	89.559	121.104	99.3201	123.924	98.2902	134.384	145.516
184751_at	17.6067	49.9581	10.0986	27.3477	28.6707	5.97963	32.7518	20.0174	12.1258
184752_at	null	28.9118	3.75618	32.528	29.4664	47.6621	19.3166	9.93777	15.2228
184753_at	34.3238	39.0786	54.6284	38.6403	48.0677	24.0895	23.9028	28.7575	26.3667
184754_at	1.07104	3.97807	4.93754	12.2865	13.1542	11.0297	3.32005	null	16.1513
184755_at	1523.44	2898.62	2008.94	2352.16	2275.53	2447.2	1397.06	1717.83	1923.8
184756_at	null	null	null	null	null	null	null	null	null
184757_at	null	4.18897	null	null	10.9753	4.7177	9.15473	3.91855	9.38479
184758_at	717.673	1525.52	970.052	1249	1149.3	1262.7	862.32	1077.21	1188.35
184759_at	null	21.3843	4.47595	23.0106	17.976	13.1013	11.0428	13.6322	29.1261
184760_at	null	null	5.51271	4.15264	2.39798	null	null	null	null
184761_at	12.6022	3.73237	14.1311	18.5644	6.44675	17.5632	9.383	11.6533	14.7378
184762_at	40.842	93.8677	57.2682	96.9022	92.1127	103.191	61.1733	68.3319	87.0854
184763_s_at	43.1616	34.2812	28.5961	34.4079	51.0879	21.2341	29.0784	24.8789	35.0997
184764_at	8.16669	25.7544	17.5466	14.3592	31.8359	18.6863	32.7606	29.0394	43.2445
184765_at	3.30688	null	10.0743	null	null	null	5.68446	null	10.9689
184766_at	null	13.9832	5.99843	null	2.6013	1.27598	4.49103	8.62026	3.84428
184767_s_at	430.055	919.743	570.555	678.106	710.601	837.868	525.526	639.361	716.818
184768_at	15.178	25.3208	18.2017	16.0022	1.94983	6.52311	20.6669	21.1426	30.8472
184769_at	null	null	null	1.50392	null	null	null	null	null
184770_at	null	null	null	null	1.04486	null	null	null	null
184771_at	null	null	null	null	null	null	null	null	null
184772_at	12.5115	7.94664	1.72671	0.03029	1.75059	11.6776	11.5622	7.40413	16.5747
184773_s_at	35.0701	22.0736	14.6317	40.4167	27.0346	36.0224	47.226	29.0383	6.47978
184774_at	8.05913	2.96472	4.99298	3.14981	null	12.264	null	7.57505	3.78969
184775_at	null	null	null	null	null	null	null	null	null
184776_at	787.711	1663.22	1019.52	1278.63	1253.46	1472.95	932.504	1081.64	1379.13
184777_s_at	45.8611	42.9957	37.9372	83.0955	61.0239	98.5351	17.0908	0.98906	10.1456
184778_at	null	null	null	null	null	null	null	null	null
184779_at	25.9528	15.2702	18.6823	47.6007	40.4393	36.3665	24.9583	39.028	9.8575
184780_s_at	125.996	341.582	171.597	220.662	206.527	271.971	189.592	258.436	274.959
184781_at	null	null	3.03375	5.22294	2.1156	0.02297	null	null	3.14066
184782_at	null	null	4.48908	3.28833	null	null	null	null	null
184783_at	null	null	null	null	null	null	null	null	null
184784_at	null	null	null	null	null	null	null	null	null
184785_at	null	null	null	null	null	null	null	null	10.2999
184786_at	29.2337	41.1512	16.7962	42.426	34.6249	31.9371	36.0806	34.5393	41.4744
184787_at	15.4658	6.89378	13.2055	24.8816	15.3251	10.028	18.1497	12.6417	23.8214
184788_at	38.4067	92.1464	29.2964	43.0505	50.2879	55.4614	62.6289	64.8878	76.367
184789_at	202.488	495.437	269.132	366.777	329.42	397.379	301.46	376.47	418.761
184790_at	50.7953	68.3741	51.1148	57.8098	65.1005	57.5634	57.4522	49.7371	50.5005
184791_at	1.53754	15.9625	5.23622	4.78254	14.7859	12.3134	1.02429	null	8.7887
184792_at	26.3406	null	null	15.0351	8.45028	9.78479	null	29.2442	26.9556
184793_at	11.8444	22.5885	17.4168	30.7066	14.2319	16.0299	25.1513	19.3907	24.6714
184794_s_at	177.873	459.062	228.25	334.968	325.008	360.609	224.358	363.828	431.626
184795_at	6.79207	10.5157	3.98143	14.9799	0.12745	null	11.5065	5.67935	8.53214
184796_s_at	58.4021	177.815	32.7794	78.0862	53.349	97.0511	50.2878	23.3059	39.1676
184797_at	2.81056	12.1819	11.379	22.4859	18.0171	2.52998	0.98105	12.557	9.61137
184798_at	null	null	null	null	null	null	null	null	null
184799_at	698.569	1514.36	1005.16	1225.54	1152.01	937.469	842.17	1046.17	1177.07
184800_at	2.83151	16.0098	10.8439	6.14824	14.5167	null	3.44183	4.55043	0.64411
184801_at	445.982	905.246	558.989	648.633	686.845	811.221	454.833	638.223	631.277
184802_at	900.97	1773.44	1127.09	1328.13	1354.23	1513.38	1023.75	1300.63	1398.23
184803_s_at	471.246	956.475	641.655	727.79	737.55	877.665	516.89	668.382	781.175
184804_at	26.3864	54.0814	31.0926	45.8034	27.3832	54.719	50.5577	57.5572	48.2838
184805_at	23.3043	55.1701	39.2691	64.5014	26.7296	42.2882	29.0565	35.3768	45.9759
184806_at	null	0.39055	null	null	null	null	null	null	null
184807_at	null	12.1279	null	null	1.78832	null	null	null	3.8678
184808_s_at	1228.54	2599.88	1651.97	1909.08	1951.96	2244.48	1378.39	1776.74	1816.4
184809_at	1.40345	15.0977	null	5.93028	9.90765	3.90657	null	8.4322	8.8171
184810_at	1.99221	3.02849	9.65899	13.9083	7.10459	12.9068	4.0617	9.02389	6.84987
184811_at	17.9207	72.5084	15.1688	31.0105	29.3543	20.7611	40.6665	39.3906	5.25356
184812_at	null	29.9372	6.85006	25.8379	11.8069	7.36877	18.9898	27.6441	26.6429
184813_at	6.38726	null	null	null	null	null	null	null	null
184814_at	9.36386	null	4.69795	0.09951	null	7.81252	null	3.9444	7.26279
184815_at	11.7834	21.398	8.10149	15.1273	29.5868	49.8598	12.4815	1.54668	0.18521
184816_at	6.87053	6.93188	6.59494	16.4718	0.56073	7.09994	8.02729	19.7106	null
184817_at	3.43548	7.5841	11.5434	13.7093	0.37421	4.81836	3.24243	9.40379	3.09933
184818_at	8.6259	4.85528	4.05961	17.9137	null	null	10.0524	5.28895	10.8102
184819_s_at	1775.97	4351.58	2089.14	2961.04	2775.71	3086.99	2222.27	2535.08	2761.81
